,imageId,task1,classnum
0,1,dress,1
1,2,dress,1
2,3,dress,1
3,4,shoe,1
4,7,dress,1
5,9,dress,1
6,13,dress,1
7,16,shoe,1
8,18,outerwear,1
9,19,outerwear,1
10,21,shoe,1
11,22,shoe,1
12,23,dress,1
13,24,shoe,1
14,26,outerwear,1
15,28,outerwear,1
16,29,dress,1
17,30,pants,1
18,31,shoe,1
19,32,outerwear,1
20,33,outerwear,1
21,34,shoe,1
22,35,outerwear,1
23,36,dress,1
24,38,dress,1
25,39,dress,1
26,40,outerwear,1
27,41,dress,1
28,42,dress,1
29,43,outerwear,1
30,44,shoe,1
31,46,dress,1
32,47,dress,1
33,48,shoe,1
34,49,dress,1
35,54,outerwear,1
36,59,pants,1
37,60,dress,1
38,61,outerwear,1
39,62,shoe,1
40,63,outerwear,1
41,66,dress,1
42,67,shoe,1
43,68,shoe,1
44,70,dress,1
45,72,outerwear,1
46,73,outerwear,1
47,76,shoe,1
48,77,shoe,1
49,80,dress,1
50,82,outerwear,1
51,83,shoe,1
52,84,dress,1
53,85,shoe,1
54,86,pants,1
55,87,dress,1
56,91,dress,1
57,92,dress,1
58,94,pants,1
59,95,shoe,1
60,97,dress,1
61,98,shoe,1
62,99,dress,1
63,100,outerwear,1
64,101,pants,1
65,104,outerwear,1
66,108,dress,1
67,110,dress,1
68,113,shoe,1
69,116,dress,1
70,117,dress,1
71,118,outerwear,1
72,120,pants,1
73,123,outerwear,1
74,124,outerwear,1
75,126,outerwear,1
76,127,shoe,1
77,129,dress,1
78,130,pants,1
79,134,dress,1
80,137,shoe,1
81,138,outerwear,1
82,139,dress,1
83,140,dress,1
84,141,shoe,1
85,143,shoe,1
86,144,pants,1
87,145,outerwear,1
88,149,dress,1
89,151,shoe,1
90,152,pants,1
91,153,dress,1
92,154,outerwear,1
93,155,dress,1
94,156,shoe,1
95,160,outerwear,1
96,161,outerwear,1
97,162,outerwear,1
98,164,shoe,1
99,167,shoe,1
100,168,dress,1
101,169,outerwear,1
102,170,pants,1
103,171,dress,1
104,173,shoe,1
105,174,dress,1
106,175,shoe,1
107,177,dress,1
108,178,dress,1
109,180,outerwear,1
110,182,outerwear,1
111,185,shoe,1
112,188,pants,1
113,189,shoe,1
114,192,shoe,1
115,193,dress,1
116,195,shoe,1
117,196,dress,1
118,197,outerwear,1
119,198,dress,1
120,199,dress,1
121,201,dress,1
122,202,dress,1
123,203,dress,1
124,206,outerwear,1
125,207,pants,1
126,208,outerwear,1
127,211,shoe,1
128,212,shoe,1
129,214,outerwear,1
130,216,pants,1
131,217,outerwear,1
132,218,outerwear,1
133,221,outerwear,1
134,224,outerwear,1
135,225,outerwear,1
136,228,dress,1
137,229,outerwear,1
138,231,shoe,1
139,233,outerwear,1
140,234,dress,1
141,236,shoe,1
142,238,dress,1
143,241,dress,1
144,244,dress,1
145,245,pants,1
146,246,dress,1
147,247,dress,1
148,249,pants,1
149,250,dress,1
150,251,outerwear,1
151,252,dress,1
152,253,pants,1
153,255,shoe,1
154,258,shoe,1
155,260,dress,1
156,262,pants,1
157,263,outerwear,1
158,264,dress,1
159,266,shoe,1
160,267,outerwear,1
161,268,dress,1
162,269,outerwear,1
163,270,outerwear,1
164,271,dress,1
165,275,outerwear,1
166,276,outerwear,1
167,278,shoe,1
168,284,dress,1
169,285,shoe,1
170,286,outerwear,1
171,287,dress,1
172,289,dress,1
173,290,outerwear,1
174,291,outerwear,1
175,293,outerwear,1
176,294,outerwear,1
177,296,outerwear,1
178,297,dress,1
179,298,dress,1
180,301,dress,1
181,303,outerwear,1
182,304,shoe,1
183,305,dress,1
184,306,pants,1
185,307,shoe,1
186,308,shoe,1
187,309,outerwear,1
188,310,shoe,1
189,311,outerwear,1
190,312,pants,1
191,318,outerwear,1
192,319,outerwear,1
193,321,dress,1
194,322,pants,1
195,323,outerwear,1
196,324,dress,1
197,326,shoe,1
198,329,dress,1
199,331,outerwear,1
200,332,shoe,1
201,333,dress,1
202,334,outerwear,1
203,335,outerwear,1
204,337,dress,1
205,338,shoe,1
206,339,pants,1
207,340,dress,1
208,341,pants,1
209,344,outerwear,1
210,347,dress,1
211,350,dress,1
212,351,shoe,1
213,353,dress,1
214,355,outerwear,1
215,356,dress,1
216,358,shoe,1
217,361,outerwear,1
218,365,outerwear,1
219,366,shoe,1
220,367,dress,1
221,368,dress,1
222,369,dress,1
223,370,outerwear,1
224,371,outerwear,1
225,374,pants,1
226,377,shoe,1
227,379,dress,1
228,380,outerwear,1
229,381,outerwear,1
230,382,dress,1
231,385,dress,1
232,386,outerwear,1
233,387,dress,1
234,388,outerwear,1
235,390,dress,1
236,392,outerwear,1
237,393,outerwear,1
238,395,dress,1
239,397,dress,1
240,399,dress,1
241,400,pants,1
242,401,dress,1
243,402,shoe,1
244,406,dress,1
245,408,pants,1
246,409,shoe,1
247,411,shoe,1
248,413,outerwear,1
249,415,outerwear,1
250,416,shoe,1
251,417,dress,1
252,419,dress,1
253,421,outerwear,1
254,422,dress,1
255,423,shoe,1
256,425,outerwear,1
257,427,shoe,1
258,428,dress,1
259,429,outerwear,1
260,430,shoe,1
261,431,shoe,1
262,434,shoe,1
263,436,shoe,1
264,437,pants,1
265,441,outerwear,1
266,442,dress,1
267,444,dress,1
268,447,dress,1
269,449,pants,1
270,452,pants,1
271,453,dress,1
272,454,shoe,1
273,456,dress,1
274,463,dress,1
275,467,shoe,1
276,473,shoe,1
277,475,dress,1
278,476,shoe,1
279,477,shoe,1
280,478,dress,1
281,480,outerwear,1
282,484,dress,1
283,486,outerwear,1
284,487,dress,1
285,488,shoe,1
286,489,shoe,1
287,490,shoe,1
288,491,dress,1
289,497,dress,1
290,499,dress,1
291,503,shoe,1
292,505,dress,1
293,507,dress,1
294,508,dress,1
295,511,dress,1
296,513,dress,1
297,514,dress,1
298,515,shoe,1
299,518,shoe,1
300,520,dress,1
301,521,dress,1
302,522,shoe,1
303,524,pants,1
304,525,dress,1
305,526,outerwear,1
306,527,outerwear,1
307,531,outerwear,1
308,532,outerwear,1
309,533,dress,1
310,540,dress,1
311,541,shoe,1
312,542,dress,1
313,543,shoe,1
314,544,shoe,1
315,546,dress,1
316,547,shoe,1
317,548,outerwear,1
318,549,shoe,1
319,550,outerwear,1
320,553,dress,1
321,554,outerwear,1
322,555,dress,1
323,556,dress,1
324,559,dress,1
325,561,shoe,1
326,563,outerwear,1
327,564,outerwear,1
328,565,dress,1
329,568,pants,1
330,570,pants,1
331,572,shoe,1
332,573,shoe,1
333,575,shoe,1
334,579,outerwear,1
335,582,outerwear,1
336,585,pants,1
337,587,dress,1
338,588,dress,1
339,590,outerwear,1
340,593,dress,1
341,594,shoe,1
342,595,outerwear,1
343,597,shoe,1
344,599,dress,1
345,601,shoe,1
346,604,outerwear,1
347,606,dress,1
348,607,pants,1
349,609,shoe,1
350,612,outerwear,1
351,613,dress,1
352,614,outerwear,1
353,616,pants,1
354,619,shoe,1
355,620,outerwear,1
356,621,shoe,1
357,622,outerwear,1
358,623,outerwear,1
359,627,pants,1
360,628,outerwear,1
361,629,outerwear,1
362,632,outerwear,1
363,634,shoe,1
364,636,shoe,1
365,637,dress,1
366,638,outerwear,1
367,639,dress,1
368,640,shoe,1
369,642,outerwear,1
370,644,shoe,1
371,646,shoe,1
372,649,dress,1
373,650,shoe,1
374,655,dress,1
375,657,outerwear,1
376,660,dress,1
377,661,outerwear,1
378,664,pants,1
379,665,shoe,1
380,667,dress,1
381,669,dress,1
382,670,shoe,1
383,671,dress,1
384,673,dress,1
385,675,dress,1
386,676,outerwear,1
387,678,outerwear,1
388,679,shoe,1
389,681,pants,1
390,682,shoe,1
391,683,dress,1
392,684,shoe,1
393,687,pants,1
394,692,dress,1
395,693,outerwear,1
396,694,dress,1
397,695,shoe,1
398,696,outerwear,1
399,697,shoe,1
400,698,dress,1
401,700,outerwear,1
402,701,dress,1
